Nombre,Año,Temporadas,Capítulos,Continua,Imagen
Friends,1994,10,236,No,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Friends_logo.svg/250px-Friends_logo.svg.png
HIMYM,2005,9,208,No,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2c/How_i_met_your_mother_logo.svg/750px-How_i_met_your_mother_logo.svg.png
The Walking dead,2010,8,115,Sí,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ef/The_Walking_Dead_2010_logo.svg/250px-The_Walking_Dead_2010_logo.svg.png
Gilmore Girls,2000,7,153,No,http://ez-cms-prod.aws.p7.com/var/sixx/storage/images/tv/gilmore-girls/gilmore-girls-logo2/11310752-1-ger-DE/Gilmore-Girls-Logo_gallery_348.jpg
Grey's Anatomy,2005,14,315,Sí,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fb/Grey%27s_Anatomy_Logo.svg/250px-Grey%27s_Anatomy_Logo.svg.png
Jessica Jones,2015,2,26,Sí,https://i.pinimg.com/originals/aa/71/13/aa71137bae6a64b1dae1d135d6f33be4.jpg
Modern Family,2009,9,208,Sí,https://upload.wikimedia.org/wikipedia/commons/thumb/7/77/Modern_Family_Title.svg/250px-Modern_Family_Title.svg.png
That 70's show,1998,8,200,No,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e2/That_%2770s_Show_logo.png/250px-That_%2770s_Show_logo.png
Vikings,2013,5,59,Sí,"https://ia.media-imdb.com/images/M/MV5BMjI5MTYyMTI2MV5BMl5BanBnXkFtZTcwMjI4MTgxOQ@@._V1_SX1777_CR0,0,1777,721_AL_.jpg"
Scandal,2012,7,124,No,http://previously.tv/wp-content/uploads/2014-01-09-scandal-thumb.jpg
Anne with an E,2017,1,7,Sí,https://pbs.twimg.com/profile_images/843910576988454915/JtsGGkTe.jpg
Reign,2013,4,78,No,https://media.giphy.com/media/K822STxToNtUA/giphy-facebook_s.jpg
Revenge,2011,4,89,No,https://vignette.wikia.nocookie.net/revengeabc/images/f/ff/Revenge_.jpg/revision/latest?cb=20121015012613
Cable Girls,2017,2,16,Sí,https://traslacamara.com/wp-content/uploads/2017/12/las-chicas-del-cable-temp-2-1-1-758x362.jpg
The Originals,2013,5,82,Última Temporada,https://vignette.wikia.nocookie.net/vampirediaries/images/f/f3/The_Originals_Title_Card.jpg/revision/latest?cb=20131005135124
The Vampire Diaries,2009,8,117,No,http://2.bp.blogspot.com/-roofeky7Ctw/VE_GJx4M0hI/AAAAAAABi8A/XOXwEiqZHWE/s1600/The_Vampire_Diaries-header.jpg
End of the f***ing world,2018,1,8,Sí,https://upload.wikimedia.org/wikipedia/commons/thumb/2/25/The_End_of_the_F%2A%2A%2Aing_World_logo_recortado.png/245px-The_End_of_the_F%2A%2A%2Aing_World_logo_recortado.png
The last Kingdom,2015,2,16,Sí,http://i.vimeocdn.com/video/560209908_1280x720.jpg
Frontier,2016,2,12,Sí,https://upload.wikimedia.org/wikipedia/en/thumb/0/0c/Screenshot_Titlecard_Discovery_Channel_Canada_%26_Netflix%27s_Frontier.png/250px-Screenshot_Titlecard_Discovery_Channel_Canada_%26_Netflix%27s_Frontier.png
The Defenders,2017,1,8,Sí,https://vignette.wikia.nocookie.net/marvelcinematicuniverse/images/1/16/The_Defenders_Title_Card.png/revision/latest?cb=20170818085917
